flow_id,model,horizon,target_type,feature_mode,seq_len,wavelet_enabled,threshold_type,threshold_source,predictions_path
F1_xlstm_close_t1_seq64_close_only,xlstm_ts,1,close,close_only,64,false,return,pred_ret,experiments/horizon_target_comparison/predictions/xlstm_f1_close1_seq64_close_only/xlstm_ts_predictions.parquet
F1_xlstm_close_t1_seq150_close_only,xlstm_ts,1,close,close_only,150,false,return,pred_ret,experiments/horizon_target_comparison/predictions/xlstm_f1_close1_seq150_close_only/xlstm_ts_predictions.parquet
F2_xlstm_logret_t1_seq64_relative,xlstm_ts,1,log_return,relative_features,64,false,return,pred_ret,experiments/horizon_target_comparison/predictions/xlstm_f2_logret1_seq64_relative/xlstm_ts_predictions.parquet
F3_xlstm_close_t3_seq64_close_only,xlstm_ts,3,close,close_only,64,false,return,pred_ret,experiments/horizon_target_comparison/predictions/xlstm_f3_close3_seq64_close_only/xlstm_ts_predictions.parquet
F4_xlstm_logret_t3_seq64_relative,xlstm_ts,3,log_return,relative_features,64,false,return,pred_ret,experiments/horizon_target_comparison/predictions/xlstm_f4_logret3_seq64_relative/xlstm_ts_predictions.parquet
F5_xlstm_close_t5_seq64_close_only,xlstm_ts,5,close,close_only,64,false,return,pred_ret,experiments/horizon_target_comparison/predictions/xlstm_f5_close5_seq64_close_only/xlstm_ts_predictions.parquet
F6_xlstm_direction_blend_t5_seq64_relative,xlstm_ts_direction_blend,5,return,relative_features,64,false,probability,direction_score,outputs/final/best_direction_xlstm_blend_predictions.parquet
F6_itransformer_logret_t5_seq64_relative,itransformer,5,log_return,relative_features,64,false,return,pred_ret,experiments/horizon_target_comparison/predictions/itransformer_f6_logret5_seq64_relative/itransformer_predictions.parquet
F6_wavelet_ensemble_t5_seq64_wavelet,wavelet_ensemble,5,return,relative_plus_wavelet,64,true,return,pred_ret,outputs/final/best_stock_selection_wavelet_ensemble_predictions.parquet
F7_xlstm_multiscore_t1_seq64,xlstm_ts_multiscore,1,score,multi_head_score,64,false,return,pred_ret,experiments/horizon_target_comparison/predictions/f7_xlstm_multiscore_h1/f7_predictions.parquet
F7_xlstm_multiscore_t3_seq64,xlstm_ts_multiscore,3,score,multi_head_score,64,false,return,pred_ret,experiments/horizon_target_comparison/predictions/f7_xlstm_multiscore_h3/f7_predictions.parquet
F7_xlstm_multiscore_t5_seq64,xlstm_ts_multiscore,5,score,multi_head_score,64,false,return,pred_ret,experiments/horizon_target_comparison/predictions/f7_xlstm_multiscore_h5/f7_predictions.parquet
